id,title,date,time,location,enroll_url,course_slug
3010,nan,,2020-02-03 13:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3505016,
1510,nan,,2020-02-03 16:00:00,Merlot Crt,https://coastalcprtraining.enrollware.com/enroll?id=3504839,
2930,nan,,2020-02-06 09:30:00,Merlot Crt,https://coastalcprtraining.enrollware.com/enroll?id=3504996,
2530,nan,,2020-02-11 10:00:00,Merlot Crt,https://coastalcprtraining.enrollware.com/enroll?id=3504941,
1680,nan,,2020-02-11 16:30:00,Merlot Crt,https://coastalcprtraining.enrollware.com/enroll?id=3504856,
1520,nan,,2020-02-11 17:00:00,Merlot Crt,https://coastalcprtraining.enrollware.com/enroll?id=3504840,
3140,nan,,2020-02-12 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3505029,
1730,nan,,2020-02-20 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3504861,
2590,nan,,2020-02-21 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504947,
2860,nan,,2020-02-24 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504978,
3990,nan,,2020-02-24 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647550,
2190,nan,,2020-02-25 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504907,
2630,nan,,2020-02-25 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504951,
1540,nan,,2020-02-25 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3504842,
1700,nan,,2020-02-25 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3504858,
2180,nan,,2020-02-26 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504906,
2620,nan,,2020-02-26 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504950,
2900,nan,,2020-02-26 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3504982,
2610,nan,,2020-02-27 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504949,
3160,nan,,2020-02-27 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3505031,
2950,nan,,2020-02-28 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3505002,
2160,nan,,2020-02-29 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3504904,
3380,nan,,2020-02-29 12:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647483,
3630,nan,,2020-03-01 12:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647508,
4010,nan,,2020-03-02 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3647552,
9210,nan,,2020-03-03 08:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3884000,
4020,nan,,2020-03-03 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647553,
4410,nan,,2020-03-06 08:30:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647594,
4050,nan,,2020-03-06 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647556,
4280,nan,,2020-03-12 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3647580,
4420,nan,,2020-03-13 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647595,
3700,nan,,2020-03-17 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647515,
5380,nan,,2020-03-17 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3708480,
3510,nan,,2020-03-18 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647496,
3740,nan,,2020-03-18 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647519,
3570,nan,,2020-03-23 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647502,
4390,nan,,2020-03-25 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647591,
4440,nan,,2020-03-27 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647597,
3580,nan,,2020-03-30 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647503,
3940,nan,,2020-03-31 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3647540,
4230,nan,,2020-04-01 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647574,
5390,nan,,2020-04-01 11:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3740043,
3600,nan,,2020-04-01 13:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3647505,
4630,nan,,2020-04-06 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705728,
5070,nan,,2020-04-06 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705773,
4920,nan,,2020-04-08 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705757,
5160,nan,,2020-04-10 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705782,
5400,nan,,2020-04-10 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3746994,
4710,nan,,2020-04-15 10:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705736,
6650,nan,,2020-04-15 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3768729,
5040,nan,,2020-04-15 17:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705770,
5220,nan,,2020-04-16 11:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3705791,
4860,nan,,2020-04-20 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705751,
5340,nan,,2020-04-23 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3705803,
5180,nan,,2020-04-24 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705784,
52190,nan,,2020-04-25 09:00:00,Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=4780529,
5110,nan,,2020-04-27 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705777,
5140,nan,,2020-04-29 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705780,
5150,nan,,2020-05-04 09:00:00,nan,https://coastalcprtraining.enrollware.com/enroll?id=3705781,
5370,nan,,2020-05-05 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3705806,
6710,nan,,2020-05-05 10:00:00,809,https://coastalcprtraining.enrollware.com/enroll?id=3796920,
