course_id,course_title,missing_price_session_count,sample_session_ids,sample_start_dates,sample_locations,sample_registration_urls,course_numbers_seen,mapping_statuses_seen,source_price_fields_inspected_summary,proposed_trusted_source_field,proposed_price,manual_review_status,manual_review_price,manual_review_source,manual_review_notes,reason_price_blank_or_null,apply_automatically
355327,AHA Heartsaver First Aid CPR AED,32,7853817|7763887|8006147|8006149|7881541|8083935|8110626|8257099|8291584|8025813,2023-03-10T09:00:00-05:00|2023-03-25T09:15:00-04:00|2023-05-03T17:30:00-04:00|2023-05-05T18:00:00-04:00|2023-05-13T10:00:00-04:00|2023-06-02T09:00:00-04:00|2023-06-04T09:00:00-04:00|2023-07-22T08:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/tff.png"" style=""width: 200px;""></img>|SCFD #25 <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/SCFD.png"" style=""width: 40px;""></img>|River Run Clubhouse|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/ADR.png"" style=""width: 40px;""></img>&nbsp;&nbsp;A•D•R F-R|:: Wilmington; Shipyard Blvd|<img src=""https://www.seaturtlehospital.org/uploads/1/3/2/8/132883825/published/logo.png"" style=""width: 150px;""></img>|GLOW|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/GbC.png"" style=""width: 100px;""></img><br>@ South Topsail Elem Sch",https://coastalcprtraining.enrollware.com/enroll?id=7853817|https://coastalcprtraining.enrollware.com/enroll?id=7763887|https://coastalcprtraining.enrollware.com/enroll?id=8006147|https://coastalcprtraining.enrollware.com/enroll?id=8006149|https://coastalcprtraining.enrollware.com/enroll?id=7881541,355327,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - BLS Instructor Renewal,23,10009253|10009255|11341055|10009256|10009257|12352134|12352251|12352252|12352253|12352254,2024-10-01T00:00:00-04:00|2025-03-01T00:00:00-05:00|2025-07-01T00:00:00-04:00|2025-08-01T00:00:00-04:00|2025-10-01T00:00:00-04:00|2025-10-08T18:00:00-04:00|2025-10-10T18:00:00-04:00|2025-10-13T18:00:00-04:00,:: Wilmington; Shipyard Blvd|:: Burgaw; 111 S Wright St,https://coastalcprtraining.enrollware.com/enroll?id=10009253|https://coastalcprtraining.enrollware.com/enroll?id=10009255|https://coastalcprtraining.enrollware.com/enroll?id=11341055|https://coastalcprtraining.enrollware.com/enroll?id=10009256|https://coastalcprtraining.enrollware.com/enroll?id=10009257,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person,21,7657438|7694353|7825663|7832897|7694411|7863630|7903202|8042504|8122905|8132704,2023-02-13T16:30:00-05:00|2023-03-02T16:30:00-05:00|2023-03-16T16:00:00-04:00|2023-03-20T17:00:00-04:00|2023-03-21T16:00:00-04:00|2023-03-30T16:30:00-04:00|2023-04-10T17:00:00-04:00|2023-05-12T16:30:00-04:00,":: CT - Oak Ridge Dr, Colchester|:: Colchester Town Hall|:: CT - Colchester|Quality Care; Salem, CT|Enchanted Jungle Daycare, 67 Hayward Ave, Colchester,  CT 06415|:: Wilmington; Shipyard Blvd|Skyline Center",https://coastalcprtraining.enrollware.com/enroll?id=7657438|https://coastalcprtraining.enrollware.com/enroll?id=7694353|https://coastalcprtraining.enrollware.com/enroll?id=7825663|https://coastalcprtraining.enrollware.com/enroll?id=7832897|https://coastalcprtraining.enrollware.com/enroll?id=7694411,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Heartsaver® TOTAL In-Person,17,7273067|7272994|7273054|7272962|7273020|7273064|7272989|7273070|7273065|7272990,2022-12-03T11:00:00-05:00|2022-12-03T17:30:00-05:00|2022-12-05T11:00:00-05:00|2022-12-05T17:30:00-05:00|2022-12-07T18:30:00-05:00|2022-12-12T11:00:00-05:00|2022-12-12T17:30:00-05:00|2022-12-17T11:00:00-05:00,:: Wilmington; Shipyard Blvd|:: Holly Ridge; Sound Rd,https://coastalcprtraining.enrollware.com/enroll?id=7273067|https://coastalcprtraining.enrollware.com/enroll?id=7272994|https://coastalcprtraining.enrollware.com/enroll?id=7273054|https://coastalcprtraining.enrollware.com/enroll?id=7272962|https://coastalcprtraining.enrollware.com/enroll?id=7273020,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,BLS Provider (On-site; Group; Fully In-person),16,9240508|9346010|9380068|9684172|9846798|9887035|9945926|10071005|9994485|9887117,2024-03-05T19:00:00-05:00|2024-05-11T13:00:00-04:00|2024-06-01T10:00:00-04:00|2024-06-05T07:45:00-04:00|2024-07-10T16:30:00-04:00|2024-07-15T18:30:00-04:00|2024-07-19T14:00:00-04:00|2024-08-09T12:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cd.png "" style=""width: 125px;""></img><br>Wilmington / The Pointe|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/RFD.png"" style=""width: 75px;""></img><br>Gallery Park|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/CSC.png"" style=""width: 75px;""></img><br>&nbsp;&nbsp;Wilmington|Dental Care at Leland Town Center|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BA.png"" style=""width:75px;""></img><br> Mayfair|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/KCar.png"" style=""width: 100px;""></img><br>|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/PBH.png"" style=""width: 150px;""></img><br>Country CLub Dr, Jacksonville|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/eld.jpg"" style=""width: 125px;""></img><br>Wilmington / N.College Rd",https://coastalcprtraining.enrollware.com/enroll?id=9240508|https://coastalcprtraining.enrollware.com/enroll?id=9346010|https://coastalcprtraining.enrollware.com/enroll?id=9380068|https://coastalcprtraining.enrollware.com/enroll?id=9684172|https://coastalcprtraining.enrollware.com/enroll?id=9846798,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - RCP para Familiares y Amigos,13,4123133|4146397|4146398|4146400|4146399|4146401|4257960|4257961|4257962|4257963,2020-10-18T13:00:00-04:00|2020-10-18T13:30:00-04:00|2020-10-18T14:00:00-04:00|2020-10-18T14:30:00-04:00|2020-10-18T15:00:00-04:00|2020-10-18T15:30:00-04:00|2020-11-14T09:00:00-05:00|2020-11-14T09:30:00-05:00,Wallace Woman’s Club|:: Long Leaf Park,https://coastalcprtraining.enrollware.com/enroll?id=4123133|https://coastalcprtraining.enrollware.com/enroll?id=4146397|https://coastalcprtraining.enrollware.com/enroll?id=4146398|https://coastalcprtraining.enrollware.com/enroll?id=4146400|https://coastalcprtraining.enrollware.com/enroll?id=4146399,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - BLS Provider - Renewal Instructor-led Classroom program for BLS Renewal,9,12723435|11820216|12885478|12776531|12775731|13255480|13189384|13400514|12946259,2025-12-30T19:00:00-05:00|2026-01-28T09:15:00-05:00|2026-02-17T12:30:00-05:00|2026-03-03T14:00:00-05:00|2026-03-23T09:15:00-04:00|2026-04-07T18:45:00-04:00|2026-04-13T19:00:00-04:00|2026-04-20T18:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/ADR.png"" style=""width: 40px;""></img>&nbsp;&nbsp;A•D•R F-R|:: Wilmington; Shipyard Blvd|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cfcc.png "" style=""width: 125px;""></img><br>North Campus|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BOM.png"" style=""width: 200px;""></img><br>90 Medical Cntr SW #100, Supply",https://coastalcprtraining.enrollware.com/enroll?id=12723435|https://coastalcprtraining.enrollware.com/enroll?id=11820216|https://coastalcprtraining.enrollware.com/enroll?id=12885478|https://coastalcprtraining.enrollware.com/enroll?id=12776531|https://coastalcprtraining.enrollware.com/enroll?id=12775731,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - ACLS - Become an American Heart Association Instructor,8,8872830|9176093|9602617|9690243|9887885|10949704|11060191|11441536,2023-10-04T04:00:00-04:00|2024-01-22T23:45:00-05:00|2024-05-01T11:00:00-04:00|2024-05-28T09:00:00-04:00|2024-07-11T12:00:00-04:00|2024-12-23T01:00:00-05:00|2025-03-13T08:30:00-04:00|2025-04-07T08:00:00-04:00,":: Wilmington; Shipyard Blvd|:: Holly Ridge; Sound Rd|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cfcc.png "" style=""width: 125px;""></img><br>North Campus",https://coastalcprtraining.enrollware.com/enroll?id=8872830|https://coastalcprtraining.enrollware.com/enroll?id=9176093|https://coastalcprtraining.enrollware.com/enroll?id=9602617|https://coastalcprtraining.enrollware.com/enroll?id=9690243|https://coastalcprtraining.enrollware.com/enroll?id=9887885,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,HSI Adult/Child/Infant CPR AED,5,8372946|9439767|9660586|11045494|10658982,2023-08-30T08:00:00-04:00|2024-06-24T11:00:00-04:00|2024-06-25T11:00:00-04:00|2025-01-21T08:00:00-05:00|2025-03-05T17:00:00-05:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/HCD.png"" style=""width: 150px;""></img><br>17 Three Sisters Rd, New York|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/ATI.png"" style=""width: 150px;""></img><br>1041 Goodworth, Apex|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/if.jpg"" style=""width: 125px;""></img><br>Wilmington|:: Wilmington; Shipyard Blvd",https://coastalcprtraining.enrollware.com/enroll?id=8372946|https://coastalcprtraining.enrollware.com/enroll?id=9439767|https://coastalcprtraining.enrollware.com/enroll?id=9660586|https://coastalcprtraining.enrollware.com/enroll?id=11045494|https://coastalcprtraining.enrollware.com/enroll?id=10658982,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Phlebotomy - National Cert Test Prep,5,4780536|4780538|4780546|4780540|4823808,2021-04-28T09:00:00-04:00|2021-05-12T09:00:00-04:00|2021-05-17T09:00:00-04:00|2021-05-26T09:00:00-04:00|2021-06-02T13:00:00-04:00,4018 PHLEB|:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=4780536|https://coastalcprtraining.enrollware.com/enroll?id=4780538|https://coastalcprtraining.enrollware.com/enroll?id=4780546|https://coastalcprtraining.enrollware.com/enroll?id=4780540|https://coastalcprtraining.enrollware.com/enroll?id=4823808,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,WALL PRINTING,5,4704780|4744626|4744628|5609226|7311788,2021-03-24T12:00:00-04:00|2021-04-05T17:00:00-04:00|2021-04-06T09:00:00-04:00|2021-12-12T08:00:00-05:00|2022-12-19T10:00:00-05:00,WALL PRINTING|Paul's Of Oak Island|:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=4704780|https://coastalcprtraining.enrollware.com/enroll?id=4744626|https://coastalcprtraining.enrollware.com/enroll?id=4744628|https://coastalcprtraining.enrollware.com/enroll?id=5609226|https://coastalcprtraining.enrollware.com/enroll?id=7311788,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - PALS - Become an American Heart Association Instructor,4,8318156|9583787|9690245|9887884,2023-08-14T01:00:00-04:00|2024-04-30T11:00:00-04:00|2024-05-29T09:00:00-04:00|2024-07-12T12:00:00-04:00,:: Wilmington; Shipyard Blvd|:: Holly Ridge; Sound Rd,https://coastalcprtraining.enrollware.com/enroll?id=8318156|https://coastalcprtraining.enrollware.com/enroll?id=9583787|https://coastalcprtraining.enrollware.com/enroll?id=9690245|https://coastalcprtraining.enrollware.com/enroll?id=9887884,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - PALS Instructor Renewal,4,10009275|10009265|10009276|10009277,2026-05-01T00:00:00-04:00|2026-06-01T00:00:00-04:00|2026-07-01T00:00:00-04:00,:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=10009275|https://coastalcprtraining.enrollware.com/enroll?id=10009265|https://coastalcprtraining.enrollware.com/enroll?id=10009276|https://coastalcprtraining.enrollware.com/enroll?id=10009277,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,HSI Adult/Child/Infant CPR AED | Blended Learning,4,8372949|11820904|11820906|11820916,2023-08-31T09:00:00-04:00|2025-06-16T11:45:00-04:00|2025-06-19T11:45:00-04:00|2025-07-12T11:45:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/OLMC.png"" style=""width: 200px;""></img><br>Doylestown, PA|:: Wilmington; Shipyard Blvd",https://coastalcprtraining.enrollware.com/enroll?id=8372949|https://coastalcprtraining.enrollware.com/enroll?id=11820904|https://coastalcprtraining.enrollware.com/enroll?id=11820906|https://coastalcprtraining.enrollware.com/enroll?id=11820916,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Heartsaver First Aid CPR AED for K-12 Schools [AHA],3,3769586|3897928|8790776,2020-06-19T07:00:00-04:00|2020-07-09T12:30:00-04:00|2023-11-08T09:30:00-05:00,"{'location_name': None, 'location_display': None, 'client': None}|:: B on the B|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BEA.png"" style=""width: 75px;""></img>Emereau: Bladen Charter",https://coastalcprtraining.enrollware.com/enroll?id=3769586|https://coastalcprtraining.enrollware.com/enroll?id=3897928|https://coastalcprtraining.enrollware.com/enroll?id=8790776,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,HSI Adult First Aid | Blended Learning Online Coursework with In-Person Skills Testing,3,12776078|13188552|12775737,2026-01-19T11:45:00-05:00|2026-03-31T11:15:00-04:00|2026-04-27T17:30:00-04:00,:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=12776078|https://coastalcprtraining.enrollware.com/enroll?id=13188552|https://coastalcprtraining.enrollware.com/enroll?id=12775737,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,2025 AHA Instructor Update,2,12464786|13384273,2026-02-20T23:59:00-05:00|2027-01-01T12:30:00-05:00,___TBD___|:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=12464786|https://coastalcprtraining.enrollware.com/enroll?id=13384273,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - ACLS Instructor Renewal,2,10009271|12351862,2025-08-01T00:00:00-04:00|2025-11-01T09:00:00-04:00,:: Wilmington; Shipyard Blvd|:: Burgaw; 111 S Wright St,https://coastalcprtraining.enrollware.com/enroll?id=10009271|https://coastalcprtraining.enrollware.com/enroll?id=12351862,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,"AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor",2,11384576|11903367,2025-04-07T08:00:00-04:00|2025-07-17T06:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cfcc.png "" style=""width: 125px;""></img><br>North Campus|:: Wilmington; Shipyard Blvd",https://coastalcprtraining.enrollware.com/enroll?id=11384576|https://coastalcprtraining.enrollware.com/enroll?id=11903367,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - Heartsaver® - Become an American Heart Association Instructor Teach Heartsaver courses at your place of employment or independently.,2,8955334|12681832,2023-12-18T09:30:00-05:00|2025-12-29T09:00:00-05:00,:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=8955334|https://coastalcprtraining.enrollware.com/enroll?id=12681832,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - Heartsaver® CPR AED - In-person 🚒,2,12469274|13411226,2025-09-29T09:00:00-04:00|2026-05-04T08:00:00-04:00,"SCFD #25 <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/SCFD.png"" style=""width: 40px;""></img>|Bus Maint Shop-Car. Bch Rd",https://coastalcprtraining.enrollware.com/enroll?id=12469274|https://coastalcprtraining.enrollware.com/enroll?id=13411226,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,CPR / AED / First Aid (On-site; Group Class),2,10066507|10361314,2024-08-20T10:00:00-04:00|2024-09-24T15:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/ChCC.png"" style=""width: 125px;""></img><br>4555 Fairview Dr. Wilm|Brothers' Steel",https://coastalcprtraining.enrollware.com/enroll?id=10066507|https://coastalcprtraining.enrollware.com/enroll?id=10361314,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,HSI Adult First Aid,2,12019661|12396565,2025-08-29T08:00:00-04:00|2025-11-08T11:00:00-05:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BA.png"" style=""width:75px;""></img><br> Mayfair|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BA.png"" style=""width:75px;""></img><br> New Centre",https://coastalcprtraining.enrollware.com/enroll?id=12019661|https://coastalcprtraining.enrollware.com/enroll?id=12396565,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Phlebotomy Technician Program (80 Hr - 13 Weeks - Saturday),2,4780529|4780558,2020-04-25T09:00:00-04:00|2021-05-01T09:00:00-04:00,:: Wilmington; Shipyard Blvd|4018 PHLEB,https://coastalcprtraining.enrollware.com/enroll?id=4780529|https://coastalcprtraining.enrollware.com/enroll?id=4780558,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,"Phlebotomy Technician Program (80 Hr - 9 Weeks - M,T,W)",2,4678669|4780571,2021-03-15T18:00:00-04:00|2021-05-17T17:00:00-04:00,4018 PHLEB,https://coastalcprtraining.enrollware.com/enroll?id=4678669|https://coastalcprtraining.enrollware.com/enroll?id=4780571,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,🏄 AHA - BLS Provider - Online Class with in-Person Skill Session - Initial or Renewal,2,10106333|10036813,2023-10-02T03:00:00-04:00|2024-08-10T09:00:00-04:00,:: Wilmington; Shipyard Blvd|:: 808CPR,https://coastalcprtraining.enrollware.com/enroll?id=10106333|https://coastalcprtraining.enrollware.com/enroll?id=10036813,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA Instructor Courses A la carte instructor program – choose your desired AHA Instructor certification and receive all required materials to start teaching.,1,10036783,2024-08-10T10:00:00-04:00,:: 808CPR,https://coastalcprtraining.enrollware.com/enroll?id=10036783,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,ARC - Adult and Pediatric CPR/AED Skills Session,1,13188702,2026-03-27T17:45:00-04:00,:: Wilmington; Shipyard Blvd,https://coastalcprtraining.enrollware.com/enroll?id=13188702,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25,1,9809485,2024-08-17T00:15:00-04:00,___TBD___,https://coastalcprtraining.enrollware.com/enroll?id=9809485,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,BLS ASAP! ٩(͡๏̯͡๏)۶,1,4334334,2020-11-14T00:15:00-05:00,:: 115-3,https://coastalcprtraining.enrollware.com/enroll?id=4334334,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
