"course_type_id","before_name","proposed_name","after_name","status","note","screenshot","edit_url"
"351632","AHA - Heartsaver Pediatric First Aid / CPR / AED In-person","AHA Heartsaver Pediatric First Aid CPR AED","","failed","final retry readback did not contain proposed name","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\351632.final_retry_bottom_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632"
"344085","AHA - Heartsaver CPR AED - In-person","AHA Heartsaver CPR AED","","failed","final retry readback did not contain proposed name","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\344085.final_retry_bottom_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344085"
