session_id,html_path,reason_stale,found_in_class_report,found_in_schedule_future,referenced_by_files
10152434,docs/classes/10152434.html,retained_past_or_non_public_page,true,false,
10152438,docs/classes/10152438.html,retained_past_or_non_public_page,true,false,
10152439,docs/classes/10152439.html,retained_past_or_non_public_page,true,false,
10152451,docs/classes/10152451.html,retained_past_or_non_public_page,true,false,
10154217,docs/classes/10154217.html,retained_past_or_non_public_page,true,false,
10161101,docs/classes/10161101.html,retained_past_or_non_public_page,true,false,
10161102,docs/classes/10161102.html,retained_past_or_non_public_page,true,false,
10177919,docs/classes/10177919.html,retained_past_or_non_public_page,true,false,
10184058,docs/classes/10184058.html,retained_past_or_non_public_page,true,false,
10210162,docs/classes/10210162.html,retained_past_or_non_public_page,true,false,
10216056,docs/classes/10216056.html,retained_past_or_non_public_page,true,false,
10216059,docs/classes/10216059.html,retained_past_or_non_public_page,true,false,
10216065,docs/classes/10216065.html,retained_past_or_non_public_page,true,false,
10216067,docs/classes/10216067.html,retained_past_or_non_public_page,true,false,
10216148,docs/classes/10216148.html,retained_past_or_non_public_page,true,false,
10217861,docs/classes/10217861.html,retained_past_or_non_public_page,true,false,
10233597,docs/classes/10233597.html,retained_past_or_non_public_page,true,false,
10256584,docs/classes/10256584.html,retained_past_or_non_public_page,true,false,
10275451,docs/classes/10275451.html,retained_past_or_non_public_page,true,false,
10275626,docs/classes/10275626.html,retained_past_or_non_public_page,true,false,
10284944,docs/classes/10284944.html,retained_past_or_non_public_page,true,false,
10285289,docs/classes/10285289.html,retained_past_or_non_public_page,true,false,
10293318,docs/classes/10293318.html,retained_past_or_non_public_page,true,false,
10293332,docs/classes/10293332.html,retained_past_or_non_public_page,true,false,
10293333,docs/classes/10293333.html,retained_past_or_non_public_page,true,false,
10293334,docs/classes/10293334.html,retained_past_or_non_public_page,true,false,
10293335,docs/classes/10293335.html,retained_past_or_non_public_page,true,false,
10293336,docs/classes/10293336.html,retained_past_or_non_public_page,true,false,
10293337,docs/classes/10293337.html,retained_past_or_non_public_page,true,false,
10293338,docs/classes/10293338.html,retained_past_or_non_public_page,true,false,
