source_file,missing_link_count,unique_target_count,families,priorities
docs/classes/10027932.html,1,1,external,false_positive
docs/classes/10027933.html,1,1,external,false_positive
docs/classes/10027934.html,1,1,external,false_positive
docs/classes/10027944.html,1,1,external,false_positive
docs/classes/10027945.html,1,1,external,false_positive
docs/classes/10028024.html,1,1,external,false_positive
docs/classes/10028035.html,1,1,external,false_positive
docs/classes/10028036.html,1,1,external,false_positive
docs/classes/10028047.html,1,1,external,false_positive
docs/classes/10028049.html,1,1,external,false_positive
docs/classes/10031443.html,1,1,external,false_positive
docs/classes/10036744.html,1,1,external,false_positive
docs/classes/10036783.html,1,1,external,false_positive
docs/classes/10036813.html,1,1,external,false_positive
docs/classes/10045746.html,1,1,external,false_positive
docs/classes/10046495.html,1,1,external,false_positive
docs/classes/10053947.html,1,1,external,false_positive
docs/classes/10057483.html,1,1,external,false_positive
docs/classes/10057486.html,1,1,external,false_positive
docs/classes/10057488.html,1,1,external,false_positive
docs/classes/10057489.html,1,1,external,false_positive
docs/classes/10057497.html,1,1,external,false_positive
docs/classes/10066507.html,1,1,external,false_positive
docs/classes/10068695.html,1,1,external,false_positive
docs/classes/10070542.html,1,1,external,false_positive
docs/classes/10071005.html,1,1,external,false_positive
docs/classes/10074481.html,1,1,external,false_positive
docs/classes/10076412.html,1,1,external,false_positive
docs/classes/10076421.html,1,1,external,false_positive
docs/classes/10076428.html,1,1,external,false_positive
docs/classes/10076439.html,1,1,external,false_positive
docs/classes/10078409.html,1,1,external,false_positive
docs/classes/10078436.html,1,1,external,false_positive
docs/classes/10078437.html,1,1,external,false_positive
docs/classes/10078438.html,1,1,external,false_positive
docs/classes/10078444.html,1,1,external,false_positive
docs/classes/10078446.html,1,1,external,false_positive
docs/classes/10078447.html,1,1,external,false_positive
docs/classes/10078450.html,1,1,external,false_positive
docs/classes/10078451.html,1,1,external,false_positive
docs/classes/10078452.html,1,1,external,false_positive
docs/classes/10078457.html,1,1,external,false_positive
docs/classes/10078459.html,1,1,external,false_positive
docs/classes/10078460.html,1,1,external,false_positive
docs/classes/10078491.html,1,1,external,false_positive
docs/classes/10078511.html,1,1,external,false_positive
docs/classes/10078517.html,1,1,external,false_positive
docs/classes/10078518.html,1,1,external,false_positive
docs/classes/10078519.html,1,1,external,false_positive
docs/classes/10078520.html,1,1,external,false_positive
docs/classes/10078521.html,1,1,external,false_positive
docs/classes/10079782.html,1,1,external,false_positive
docs/classes/10082854.html,1,1,external,false_positive
docs/classes/10083074.html,1,1,external,false_positive
docs/classes/10083486.html,1,1,external,false_positive
docs/classes/10101102.html,1,1,external,false_positive
docs/classes/10102772.html,1,1,external,false_positive
docs/classes/10105813.html,1,1,external,false_positive
docs/classes/10106333.html,1,1,external,false_positive
docs/classes/10115968.html,1,1,external,false_positive
docs/classes/10121992.html,1,1,external,false_positive
docs/classes/10125521.html,1,1,external,false_positive
docs/classes/10128238.html,1,1,external,false_positive
docs/classes/10136157.html,1,1,external,false_positive
docs/classes/10143627.html,1,1,external,false_positive
docs/classes/10152434.html,1,1,external,false_positive
docs/classes/10152438.html,1,1,external,false_positive
docs/classes/10152439.html,1,1,external,false_positive
docs/classes/10152451.html,1,1,external,false_positive
docs/classes/10154217.html,1,1,external,false_positive
docs/classes/10161101.html,1,1,external,false_positive
docs/classes/10161102.html,1,1,external,false_positive
docs/classes/10177919.html,1,1,external,false_positive
docs/classes/10184058.html,1,1,external,false_positive
docs/classes/10210162.html,1,1,external,false_positive
docs/classes/10216056.html,1,1,external,false_positive
docs/classes/10216059.html,1,1,external,false_positive
docs/classes/10216065.html,1,1,external,false_positive
docs/classes/10216067.html,1,1,external,false_positive
docs/classes/10216148.html,1,1,external,false_positive
docs/classes/10217861.html,1,1,external,false_positive
docs/classes/10233597.html,1,1,external,false_positive
docs/classes/10256584.html,1,1,external,false_positive
