"course_type_id","old_name","target_name","before_field_value","after_field_value","detected_agency","status","note","screenshot","edit_url"
"248288","ARC - BLS - In-Person ClassroomInstructor-led classroom for initial or renewal certification","ARC BLS","American Red Cross Basic Life Support","American Red Cross Basic Life Support","American Red Cross","failed","readback mismatch: 'American Red Cross Basic Life Support'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\248288.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248288"
"248287","ARC - BLS - Blended Learning (Online + Skills)Complete online course, then attend in-person skills session","ARC BLS Blended Learning","American Red Cross Basic Life Support","American Red Cross Basic Life Support","American Red Cross","failed","readback mismatch: 'American Red Cross Basic Life Support'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\248287.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248287"
"444919","ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers","ARC BLS Challenge","ARC BLS Challenge - Renewal for Experienced Providers <br><i>Assessment-only session for experienced providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_ARC.png"" width=""18"" alt=""ARC"" title=""ARC BLS Challenge"" name=""444919"" longdesc=""r:444919|t:ARC_BLS_CHALLENGE_RENEWAL|cb:ARC|src:EW|p:99|d:IP"">","ARC BLS Challenge - Renewal for Experienced Providers <br><i>Assessment-only session for experienced providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_ARC.png"" width=""18"" alt=""ARC"" title=""ARC BLS Challenge"" name=""444919"" longdesc=""r:444919|t:ARC_BLS_CHALLENGE_RENEWAL|cb:ARC|src:EW|p:99|d:IP"">","American Red Cross","failed","readback mismatch: 'ARC BLS Challenge - Renewal for Experienced Providers <br><i>Assessment-only session for experienced providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_ARC.png"" width=""18"" alt=""ARC"" title=""ARC BLS Challenge"" name=""444919"" longdesc=""r:444919|t:ARC_BLS_CHALLENGE_RENEWAL|cb:ARC|src:EW|p:99|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\444919.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=444919"
"440431","BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!","BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing)","BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing)   <div style=""font-weight: normal; font-size: 85%; color: gray;"">     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; horizontal-align:left;""></img>     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" style=""width:25px; horizontal-align:left;""></img>     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_ARC.png"" style=""width:25px; horizontal-align:left;""></img>     <br>     <i>Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office.      Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!</i> </div>","BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing)   <div style=""font-weight: normal; font-size: 85%; color: gray;"">     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; horizontal-align:left;""></img>     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" style=""width:25px; horizontal-align:left;""></img>     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_ARC.png"" style=""width:25px; horizontal-align:left;""></img>     <br>     <i>Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office.      Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!</i> </div>","AHA","failed","readback mismatch: 'BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing)   <div style=""font-weight: normal; font-size: 85%; color: gray;"">     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; horizontal-align:left;""></img>     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" style=""width:25px; horizontal-align:left;""></img>     <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_ARC.png"" style=""width:25px; horizontal-align:left;""></img>     <br>     <i>Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office.      Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!</i> </div>'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\440431.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=440431"
"374378","HSI Adult First Aid CPR AED - In-PersonInstructor-led classroom training for workplace certification","HSI Adult First Aid | Adult CPR AED","HSI Adult First Aid CPR AED - In-Person <br><i>Instructor-led classroom training for workplace certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Adult First Aid CPR AED In Person"" name=""374378"" longdesc=""r:374378|t:HSI_FA_CPR_IP|cb:HSI|src:EW|p:90|d:IP"">","HSI Adult First Aid CPR AED - In-Person <br><i>Instructor-led classroom training for workplace certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Adult First Aid CPR AED In Person"" name=""374378"" longdesc=""r:374378|t:HSI_FA_CPR_IP|cb:HSI|src:EW|p:90|d:IP"">","HSI","failed","readback mismatch: 'HSI Adult First Aid CPR AED - In-Person <br><i>Instructor-led classroom training for workplace certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Adult First Aid CPR AED In Person"" name=""374378"" longdesc=""r:374378|t:HSI_FA_CPR_IP|cb:HSI|src:EW|p:90|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\374378.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374378"
"422270","HSI Adult First Aid CPR AED - In-personTraditional classroom training for workplace and general certification","HSI Adult First Aid | Adult CPR AED","HSI Adult First Aid | CPR AED","HSI Adult First Aid | CPR AED","HSI","failed","readback mismatch: 'HSI Adult First Aid | CPR AED'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\422270.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=422270"
"371954","HSI Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification","HSI Adult First Aid | Adult CPR AED - Blended Learning","HSI Adult First Aid CPR AED - Blended <br><i>Online course + in-person skills session for workplace certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Adult First Aid CPR AED Blended"" name=""371954"" longdesc=""r:371954|t:HSI_FA_CPR_BL|cb:HSI|src:EW|p:90|d:BL"">","HSI Adult First Aid CPR AED - Blended <br><i>Online course + in-person skills session for workplace certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Adult First Aid CPR AED Blended"" name=""371954"" longdesc=""r:371954|t:HSI_FA_CPR_BL|cb:HSI|src:EW|p:90|d:BL"">","HSI","failed","readback mismatch: 'HSI Adult First Aid CPR AED - Blended <br><i>Online course + in-person skills session for workplace certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Adult First Aid CPR AED Blended"" name=""371954"" longdesc=""r:371954|t:HSI_FA_CPR_BL|cb:HSI|src:EW|p:90|d:BL"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\371954.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=371954"
"445670","HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing","HSI BLS and Adult First Aid | Blended Learning","HSI BLS and Adult First Aid | Blended Learning <br><i>Online coursework with in-person skills testing</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS and Adult First Aid | Blended Learning"" name=""445670"" longdesc=""r:445670|t:HSI_BLS_ADULT_FA_BLENDED|cb:HSI|src:EW|p:90|d:BL"">","HSI BLS and Adult First Aid | Blended Learning <br><i>Online coursework with in-person skills testing</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS and Adult First Aid | Blended Learning"" name=""445670"" longdesc=""r:445670|t:HSI_BLS_ADULT_FA_BLENDED|cb:HSI|src:EW|p:90|d:BL"">","HSI","failed","readback mismatch: 'HSI BLS and Adult First Aid | Blended Learning <br><i>Online coursework with in-person skills testing</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS and Adult First Aid | Blended Learning"" name=""445670"" longdesc=""r:445670|t:HSI_BLS_ADULT_FA_BLENDED|cb:HSI|src:EW|p:90|d:BL"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\445670.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=445670"
"463743","HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out","HSI BLS Challenge","HSI BLS Challenge - Renewal for Experienced Providers <br><i>Assessment-only session for experienced providers ready to test out</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS Challenge"" name=""463743"" longdesc=""r:463743|t:HSI_BLS_CHALLENGE_RENEWAL|cb:HSI|src:EW|p:80|d:IP"">","HSI BLS Challenge - Renewal for Experienced Providers <br><i>Assessment-only session for experienced providers ready to test out</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS Challenge"" name=""463743"" longdesc=""r:463743|t:HSI_BLS_CHALLENGE_RENEWAL|cb:HSI|src:EW|p:80|d:IP"">","HSI","failed","readback mismatch: 'HSI BLS Challenge - Renewal for Experienced Providers <br><i>Assessment-only session for experienced providers ready to test out</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS Challenge"" name=""463743"" longdesc=""r:463743|t:HSI_BLS_CHALLENGE_RENEWAL|cb:HSI|src:EW|p:80|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\463743.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463743"
"448630","HSI Basic Life Support (BLS) ProviderIn-person training for healthcare professionals","HSI BLS Provider","HSI Basic Life Support (BLS) Provider <br><i>In-person training for healthcare professionals</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS Provider"" name=""448630"" longdesc=""r:448630|t:HSI_BLS_PROVIDER|cb:HSI|src:EW|p:75|d:IP"">","HSI Basic Life Support (BLS) Provider <br><i>In-person training for healthcare professionals</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS Provider"" name=""448630"" longdesc=""r:448630|t:HSI_BLS_PROVIDER|cb:HSI|src:EW|p:75|d:IP"">","HSI","failed","readback mismatch: 'HSI Basic Life Support (BLS) Provider <br><i>In-person training for healthcare professionals</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI BLS Provider"" name=""448630"" longdesc=""r:448630|t:HSI_BLS_PROVIDER|cb:HSI|src:EW|p:75|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\448630.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=448630"
"449422","HSI Pediatric First Aid CPR AED - BlendedOnline course + in-person skills session for childcare and caregivers","HSI Pediatric First Aid | CPR AED - Blended","HSI Pediatric First Aid CPR AED - Blended <br><i>Online course + in-person skills session for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Pediatric First Aid CPR AED Blended"" name=""449422"" longdesc=""r:449422|t:HSI_PED_FA_CPR_BL|cb:HSI|src:EW|p:80|d:BL"">","HSI Pediatric First Aid CPR AED - Blended <br><i>Online course + in-person skills session for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Pediatric First Aid CPR AED Blended"" name=""449422"" longdesc=""r:449422|t:HSI_PED_FA_CPR_BL|cb:HSI|src:EW|p:80|d:BL"">","HSI","failed","readback mismatch: 'HSI Pediatric First Aid CPR AED - Blended <br><i>Online course + in-person skills session for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_HSI.png"" width=""18"" alt=""HSI"" title=""HSI Pediatric First Aid CPR AED Blended"" name=""449422"" longdesc=""r:449422|t:HSI_PED_FA_CPR_BL|cb:HSI|src:EW|p:80|d:BL"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\449422.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=449422"
