"course_type_id","old_name","target_name","before_field_value","after_field_value","detected_agency","status","note","screenshot","edit_url"
"329495","AHA Heartsaver® First Aid CPR AED - BlendedOnline course + in-person skills session for workplace and general certification","AHA Heartsaver® First Aid CPR AED – Blended","AHA Heartsaver® First Aid CPR AED - Blended <br><i>Online course + in-person skills session for workplace and general certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver First Aid CPR AED Blended"" name=""329495"" longdesc=""r:329495|t:AHA_HS_FA_CPR_BL|cb:AHA|src:EW|p:95|d:BL"">","AHA Heartsaver® First Aid CPR AED - Blended <br><i>Online course + in-person skills session for workplace and general certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver First Aid CPR AED Blended"" name=""329495"" longdesc=""r:329495|t:AHA_HS_FA_CPR_BL|cb:AHA|src:EW|p:95|d:BL"">","AHA","failed","readback mismatch: 'AHA Heartsaver® First Aid CPR AED - Blended <br><i>Online course + in-person skills session for workplace and general certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver First Aid CPR AED Blended"" name=""329495"" longdesc=""r:329495|t:AHA_HS_FA_CPR_BL|cb:AHA|src:EW|p:95|d:BL"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\329495.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=329495"
"351632","AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply","AHA Heartsaver® Pediatric First Aid / CPR / AED","AHA - Heartsaver® Pediatric First Aid / CPR / AED <b>In-person</b><img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; float:left; margin-right:5px;""><br><span style=""color:#D32F2F; font-size:85%; font-weight:bold; font-style:italic;""> ✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance<br> ✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply </span>","AHA - Heartsaver® Pediatric First Aid / CPR / AED <b>In-person</b><img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; float:left; margin-right:5px;""><br><span style=""color:#D32F2F; font-size:85%; font-weight:bold; font-style:italic;""> ✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance<br> ✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply </span>","AHA","failed","readback mismatch: 'AHA - Heartsaver® Pediatric First Aid / CPR / AED <b>In-person</b><img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; float:left; margin-right:5px;""><br><span style=""color:#D32F2F; font-size:85%; font-weight:bold; font-style:italic;""> ✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance<br> ✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply </span>'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\351632.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632"
"485317","AHA Heartsaver® Pediatric First Aid CPR AED -Instructor-led training for childcare and caregivers","AHA Heartsaver® Pediatric First Aid CPR AED","AHA Heartsaver® Pediatric First Aid CPR AED - <br><i>Instructor-led training for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver Pediatric First Aid CPR AED"" name=""485317"" longdesc=""r:485317|t:AHA_HS_PED_FA_CPR|cb:AHA|src:EW|p:110|d:ILT"">","AHA Heartsaver® Pediatric First Aid CPR AED - <br><i>Instructor-led training for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver Pediatric First Aid CPR AED"" name=""485317"" longdesc=""r:485317|t:AHA_HS_PED_FA_CPR|cb:AHA|src:EW|p:110|d:ILT"">","AHA","failed","readback mismatch: 'AHA Heartsaver® Pediatric First Aid CPR AED - <br><i>Instructor-led training for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver Pediatric First Aid CPR AED"" name=""485317"" longdesc=""r:485317|t:AHA_HS_PED_FA_CPR|cb:AHA|src:EW|p:110|d:ILT"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\485317.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=485317"
"251545","AHA Heartsaver® Pediatric First Aid CPR AED - BlendedOnline course + in-person skills session for childcare and caregivers","AHA Heartsaver® Pediatric First Aid CPR AED Online","AHA Heartsaver® Pediatric First Aid CPR AED - Blended <br><i>Online course + in-person skills session for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver Pediatric First Aid CPR AED Blended"" name=""251545"" longdesc=""r:251545|t:AHA_HS_PED_FA_CPR_BL|cb:AHA|src:EW|p:85|d:BL"">","AHA Heartsaver® Pediatric First Aid CPR AED - Blended <br><i>Online course + in-person skills session for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver Pediatric First Aid CPR AED Blended"" name=""251545"" longdesc=""r:251545|t:AHA_HS_PED_FA_CPR_BL|cb:AHA|src:EW|p:85|d:BL"">","AHA","failed","readback mismatch: 'AHA Heartsaver® Pediatric First Aid CPR AED - Blended <br><i>Online course + in-person skills session for childcare and caregivers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver Pediatric First Aid CPR AED Blended"" name=""251545"" longdesc=""r:251545|t:AHA_HS_PED_FA_CPR_BL|cb:AHA|src:EW|p:85|d:BL"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\251545.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=251545"
"209812","American Heart Association Pediatric Advanced Life Support (PALS) Provider - HeartCode® (Online + Skills Session)Complete online training, then attend an in-person skills session","AHA PALS HeartCode®","AHA HeartCode PALS","AHA HeartCode PALS","AHA","failed","readback mismatch: 'AHA HeartCode PALS'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209812.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209812"
"209805","American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - InitialInstructor-led classroom training for initial or expired PALS certification","AHA PALS Provider","American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Initial <br><i>Instructor-led classroom training for initial or expired PALS certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS In-Person Initial"" name=""209805"" longdesc=""r:209805|t:AHA_PALS_INITIAL|cb:AHA|src:EW|p:275|d:IP"">","American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Initial <br><i>Instructor-led classroom training for initial or expired PALS certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS In-Person Initial"" name=""209805"" longdesc=""r:209805|t:AHA_PALS_INITIAL|cb:AHA|src:EW|p:275|d:IP"">","AHA","failed","readback mismatch: 'American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Initial <br><i>Instructor-led classroom training for initial or expired PALS certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS In-Person Initial"" name=""209805"" longdesc=""r:209805|t:AHA_PALS_INITIAL|cb:AHA|src:EW|p:275|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209805.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209805"
"380688","American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session)Complete HeartCode PALS and 6 advanced modules before in-person skills testing","AHA PALS Provider Plus™ HeartCode®","American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session) <br><i>Complete HeartCode PALS and 6 advanced modules before in-person skills testing</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS Plus HeartCode"" name=""380688"" longdesc=""r:380688|t:AHA_PALS_PLUS_HEARTCODE|cb:AHA|src:EW|p:120|d:BL"">","American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session) <br><i>Complete HeartCode PALS and 6 advanced modules before in-person skills testing</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS Plus HeartCode"" name=""380688"" longdesc=""r:380688|t:AHA_PALS_PLUS_HEARTCODE|cb:AHA|src:EW|p:120|d:BL"">","AHA","failed","readback mismatch: 'American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session) <br><i>Complete HeartCode PALS and 6 advanced modules before in-person skills testing</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS Plus HeartCode"" name=""380688"" longdesc=""r:380688|t:AHA_PALS_PLUS_HEARTCODE|cb:AHA|src:EW|p:120|d:BL"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\380688.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=380688"
"251496","American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - RenewalInstructor-led classroom training for current or recently expired PALS certification","AHA PALS Renewal","American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Renewal <br><i>Instructor-led classroom training for current or recently expired PALS certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS Renewal In-Person"" name=""251496"" longdesc=""r:251496|t:AHA_PALS_RENEWAL|cb:AHA|src:EW|p:225|d:IP"">","American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Renewal <br><i>Instructor-led classroom training for current or recently expired PALS certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS Renewal In-Person"" name=""251496"" longdesc=""r:251496|t:AHA_PALS_RENEWAL|cb:AHA|src:EW|p:225|d:IP"">","AHA","failed","readback mismatch: 'American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - Renewal <br><i>Instructor-led classroom training for current or recently expired PALS certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA PALS Renewal In-Person"" name=""251496"" longdesc=""r:251496|t:AHA_PALS_RENEWAL|cb:AHA|src:EW|p:225|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\251496.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=251496"
"369209","ARC Adult | Pediatric First Aid CPR AED - In-personFull certification for adults, children, and infants","ARC Adult and Pediatric First Aid/CPR/AED","American Red Cross Adult and Pediatric First Aid/CPR/AED","American Red Cross Adult and Pediatric First Aid/CPR/AED","American Red Cross","failed","readback mismatch: 'American Red Cross Adult and Pediatric First Aid/CPR/AED'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\369209.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=369209"
"410694","ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25","ARC Adult and Pediatric First Aid/CPR/AED Blended Learning","American Red Cross Adult and Pediatric First Aid/CPR/AED","American Red Cross Adult and Pediatric First Aid/CPR/AED","American Red Cross","failed","readback mismatch: 'American Red Cross Adult and Pediatric First Aid/CPR/AED'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\410694.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410694"
