"course_type_id","matched_course_type_name","edit_url","before_checkbox_state","after_checkbox_state","status","note","screenshot"
"209808","AHA - Heartsaver® CPR AED - Online c̄ In-person Skills","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808","unchecked","unchecked","failed","saved/reloaded but checkbox still appears unchecked","E:\GitHub\910cpr-class-landers\debug\apply_screenshots\209808.checked_before_save.png"
"351632","AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632","unchecked","unchecked","failed","saved/reloaded but checkbox still appears unchecked","E:\GitHub\910cpr-class-landers\debug\apply_screenshots\351632.checked_before_save.png"
