test_marker,computed_appointmentDayId,date,startTime,courseId,requested_course,public_selector_course,course_id_verified_on_public_selector,url,http_status,status,displayed_course,displayed_date_time,displayed_location,displayed_price,reject_reason,cleanup_needed
INVCTRL_PROBE_2027_01,260870,2027-01-07,8:17 AM,359474,AHA BLS Provider (Renewal),AHA BLS Provider (Renewal),True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260870&startTime=8%3A17%20AM&courseId=359474,0,planned,,,,,,review
INVCTRL_PROBE_2027_02,260882,2027-01-19,9:43 AM,209806,AHA BLS Provider (Initial),AHA BLS Provider (Initial),True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260882&startTime=9%3A43%20AM&courseId=209806,0,planned,,,,,,review
INVCTRL_PROBE_2027_03,260897,2027-02-03,10:26 AM,210549,AHA BLS HeartCode,AHA BLS HeartCode®,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260897&startTime=10%3A26%20AM&courseId=210549,0,planned,,,,,,review
INVCTRL_PROBE_2027_04,260911,2027-02-17,11:52 AM,241108,AHA ACLS Provider (Initial),AHA ACLS Provider (Initial),True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260911&startTime=11%3A52%20AM&courseId=241108,0,planned,,,,,,review
INVCTRL_PROBE_2027_05,260926,2027-03-04,12:37 PM,209818,AHA ACLS Provider (Renewal),AHA ACLS Provider (Renewal),True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260926&startTime=12%3A37%20PM&courseId=209818,0,planned,,,,,,review
INVCTRL_PROBE_2027_06,260940,2027-03-18,1:14 PM,209812,AHA PALS HeartCode,AHA PALS HeartCode®,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260940&startTime=1%3A14%20PM&courseId=209812,0,planned,,,,,,review
INVCTRL_PROBE_2027_07,260959,2027-04-06,2:41 PM,209805,AHA PALS Provider,AHA PALS Provider,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260959&startTime=2%3A41%20PM&courseId=209805,0,planned,,,,,,review
INVCTRL_PROBE_2027_08,260975,2027-04-22,3:28 PM,251496,AHA PALS Renewal,AHA PALS Renewal,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260975&startTime=3%3A28%20PM&courseId=251496,0,planned,,,,,,review
INVCTRL_PROBE_2027_09,260988,2027-05-05,4:49 PM,344085,AHA Heartsaver CPR AED,AHA Heartsaver® CPR AED,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260988&startTime=4%3A49%20PM&courseId=344085,0,planned,,,,,,review
INVCTRL_PROBE_2027_10,261010,2027-05-27,6:36 PM,329495,AHA Heartsaver First Aid CPR AED - Blended,AHA Heartsaver® First Aid CPR AED – Blended,True,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=261010&startTime=6%3A36%20PM&courseId=329495,0,planned,,,,,,review
