stage,status,date,start_time,course_family,course_title,location,instructor,offer_id,seed_id,appointmentDayId,course_id,appointment_url,filter_reasons,source_window
dynamic_offer,generated,2026-08-01,00:30,USCG,USCG Elementary First Aid | CPR (AHA Heartsaver),NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-253768-instructor_24057895173-20260801-0030,,,253768,,course_family_disabled;course_id_not_enabled;course_family_not_enabled;outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,Heartsaver,AHA Heartsaver CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-344085-instructor_24057895173-20260801-0045,,,344085,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,Heartsaver,AHA Heartsaver CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209808-instructor_24057895173-20260801-0045,,,209808,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0045,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0045,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-351632-instructor_24057895173-20260801-0045,,,351632,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-251545-instructor_24057895173-20260801-0045,,,251545,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,00:45,USCG,USCG Elementary First Aid | CPR (AHA Heartsaver),NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-253768-instructor_24057895173-20260801-0045,,,253768,,course_family_disabled;course_id_not_enabled;course_family_not_enabled;outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,Heartsaver,AHA Heartsaver CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-344085-instructor_24057895173-20260801-0100,,,344085,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,Heartsaver,AHA Heartsaver CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209808-instructor_24057895173-20260801-0100,,,209808,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0100,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0100,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-351632-instructor_24057895173-20260801-0100,,,351632,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-251545-instructor_24057895173-20260801-0100,,,251545,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:00,USCG,USCG Elementary First Aid | CPR (AHA Heartsaver),NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-253768-instructor_24057895173-20260801-0100,,,253768,,course_family_disabled;course_id_not_enabled;course_family_not_enabled;outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,Heartsaver,AHA Heartsaver CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-344085-instructor_24057895173-20260801-0115,,,344085,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,Heartsaver,AHA Heartsaver CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209808-instructor_24057895173-20260801-0115,,,209808,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0115,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0115,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-351632-instructor_24057895173-20260801-0115,,,351632,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-251545-instructor_24057895173-20260801-0115,,,251545,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:15,USCG,USCG Elementary First Aid | CPR (AHA Heartsaver),NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-253768-instructor_24057895173-20260801-0115,,,253768,,course_family_disabled;course_id_not_enabled;course_family_not_enabled;outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,Heartsaver,AHA Heartsaver CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-344085-instructor_24057895173-20260801-0130,,,344085,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,Heartsaver,AHA Heartsaver CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209808-instructor_24057895173-20260801-0130,,,209808,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0130,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0130,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-351632-instructor_24057895173-20260801-0130,,,351632,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-251545-instructor_24057895173-20260801-0130,,,251545,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:30,USCG,USCG Elementary First Aid | CPR (AHA Heartsaver),NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-253768-instructor_24057895173-20260801-0130,,,253768,,course_family_disabled;course_id_not_enabled;course_family_not_enabled;outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:45,Heartsaver,AHA Heartsaver CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-344085-instructor_24057895173-20260801-0145,,,344085,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:45,Heartsaver,AHA Heartsaver CPR AED Online,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209808-instructor_24057895173-20260801-0145,,,209808,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:45,Heartsaver,AHA Heartsaver First Aid CPR AED,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-209809-instructor_24057895173-20260801-0145,,,209809,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
dynamic_offer,generated,2026-08-01,01:45,Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,Brian Ennis,offer-329495-instructor_24057895173-20260801-0145,,,329495,,outside_public_dynamic_hours,brian_do_not_schedule:inverse_gap:56
