offer_id,date,start_time,course_id,course_title,is_aha_bls,public_sellable,first_rejection_stage,rejection_bucket,rejection_reasons
offer-359474-instructor_24057895173-20260807-1230,2026-08-07,12:30,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260807-1230,2026-08-07,12:30,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260807-1230,2026-08-07,12:30,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260807-1230,2026-08-07,12:30,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260807-1230,2026-08-07,12:30,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260808-1230,2026-08-08,12:30,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260808-1230,2026-08-08,12:30,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260808-1230,2026-08-08,12:30,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260808-1230,2026-08-08,12:30,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260808-1230,2026-08-08,12:30,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260808-1230,2026-08-08,12:30,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260809-1230,2026-08-09,12:30,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260809-1230,2026-08-09,12:30,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260809-1230,2026-08-09,12:30,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260809-1230,2026-08-09,12:30,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260809-1230,2026-08-09,12:30,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260809-1230,2026-08-09,12:30,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260810-1230,2026-08-10,12:30,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260810-1230,2026-08-10,12:30,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260810-1230,2026-08-10,12:30,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260810-1230,2026-08-10,12:30,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260810-1230,2026-08-10,12:30,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260810-1230,2026-08-10,12:30,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,day_cap,max_total_offers_per_day_exceeded
offer-209806-instructor_24057895173-20260811-1230,2026-08-11,12:30,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260811-1230,2026-08-11,12:30,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260811-1230,2026-08-11,12:30,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260811-1230,2026-08-11,12:30,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
