appointmentDayId,button_text,courseId,date,href,page,render_source,row_type,startTime,subtitle,time,title
260714,Book This Class,209806,2026-08-04,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260714&startTime=9%3A15%20AM&courseId=209806,docs/bls.html,seed_appointment_url_preview,appointment_seed,9:15 AM,AHA BLS Provider,09:15,"Tuesday, August 4"
260720,Book This Class,209806,2026-08-10,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260720&startTime=9%3A15%20AM&courseId=209806,docs/bls.html,seed_appointment_url_preview,appointment_seed,9:15 AM,AHA BLS Provider,09:15,"Monday, August 10"
260722,Book This Class,209806,2026-08-12,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260722&startTime=9%3A15%20AM&courseId=209806,docs/bls.html,seed_appointment_url_preview,appointment_seed,9:15 AM,AHA BLS Provider,09:15,"Wednesday, August 12"
,Book This Class,,2026-08-14,/classes/13601250.html#ForwardToEnrollware,docs/bls.html,,real_enrollware,,AHA BLS Provider (Initial),12:45,"Friday, August 14"
260713,Book This Class,359474,2026-08-03,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260713&startTime=9%3A15%20AM&courseId=359474,docs/bls.html,seed_appointment_url_preview,appointment_seed,9:15 AM,AHA BLS Provider Renewal,09:15,"Monday, August 3"
260715,Book This Class,359474,2026-08-05,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260715&startTime=9%3A15%20AM&courseId=359474,docs/bls.html,seed_appointment_url_preview,appointment_seed,9:15 AM,AHA BLS Provider Renewal,09:15,"Wednesday, August 5"
,Book This Class,,2026-08-10,/classes/12946259.html#ForwardToEnrollware,docs/bls.html,,real_enrollware,,AHA BLS Provider (Renewal),09:00,"Monday, August 10"
260721,Book This Class,359474,2026-08-11,https://coastalcprtraining.enrollware.com/enroll?appointmentDayId=260721&startTime=9%3A15%20AM&courseId=359474,docs/bls.html,seed_appointment_url_preview,appointment_seed,9:15 AM,AHA BLS Provider Renewal,09:15,"Tuesday, August 11"
