course_key,enrollware_course_id,enrollware_name,public_short_title,public_long_title,course_family,course_family_type,provider,discipline,format,status,classroom_duration_minutes,skills_duration_minutes,scheduler_display_duration_minutes,setup_buffer_minutes,cleanup_buffer_minutes,scheduler_consumption_minutes,minimum_lead_time_hours,maximum_lookahead_days,dynamic_offer_allowed,appointment_seed_allowed,review_needed_for_scheduling,public_visibility,slug_page,hub_tab,cta_text,review_needed_for_rendering,base_price,shipping_price,add_ons,card_type,secondary_card_type,ecard_code,keycode_bank,review_needed_for_pricing_or_cards,allowed_instructor_ids,allowed_location_ids,max_students_default,min_students_default,required_equipment,room_requirements,data_quality_status,missing_required_fields,source_files,used_by_public_sellable_dynamic_offer,public_sellable_offer_ids,brian_review_notes
aha_bls_provider_renewal,359474,AHA BLS Provider Renewal,AHA BLS Provider Renewal,AHA BLS Provider Renewal,BLS,Renewal,AHA,unknown,IP,active,120,,120,,,,24,180,false,false,true,active_public,docs/bls.html,bls-renewal; group-bls,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_heartcode_bls,210549,AHA HeartCode BLS,AHA HeartCode BLS,AHA HeartCode BLS,BLS,HeartCode,AHA,unknown,BL,active,60,60,60,,,,24,180,false,false,true,active_public,docs/bls.html,bls-heartcode; group-bls,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,1,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_bls_provider_blended_group_skills,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),BLS,HeartCode,AHA,unknown,BL,active,150,150,150,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,AHA_BLS_INSTRUCTOR,,18,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
hsi_adult_first_aid_cpr_aed,374378,HSI Adult First Aid | CPR AED,HSI Adult First Aid | CPR AED,HSI Adult First Aid | CPR AED,HSI,First Aid + CPR + AED,HSI,unknown,IP,active,180,,180,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
hsi_adult_first_aid_cpr_aed_alt,422270,HSI Adult First Aid | CPR AED,HSI Adult First Aid | CPR AED,HSI Adult First Aid | CPR AED,HSI,First Aid + CPR + AED,HSI,unknown,IP,active,180,,180,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
hsi_adult_first_aid_cpr_aed_blended,371954,HSI Adult First Aid | CPR AED - Blended Learning,HSI Adult First Aid | CPR AED - Blended Learning,HSI Adult First Aid | CPR AED - Blended Learning,HSI,First Aid + CPR + AED,HSI,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
hsi_bls_adult_first_aid_blended,445670,HSI BLS and Adult First Aid | Blended Learning,HSI BLS + Adult First Aid,HSI BLS and Adult First Aid | Blended Learning,HSI,BLS + First Aid,HSI,unknown,BL,active,45,45,45,15,30,90,24,180,true,true,false,active_public,docs/hsi.html,hsi-bls-fa,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
hsi_bls_challenge,463743,HSI BLS Challenge,HSI BLS Challenge,HSI BLS Challenge,HSI,BLS Challenge,HSI,unknown,IP,active,45,,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
hsi_basic_life_support,448630,HSI Basic Life Support,HSI Basic Life Support,HSI Basic Life Support,HSI,BLS,HSI,unknown,IP,active,150,,150,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
hsi_pediatric_first_aid_cpr_aed_blended,449422,HSI Pediatric First Aid | CPR AED - Blended,HSI Pediatric First Aid | CPR AED - Blended,HSI Pediatric First Aid | CPR AED - Blended,HSI,Pediatric First Aid,HSI,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,HSI_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
